question,true,basic,rag
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos,Denver Broncos,Denver Broncos
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,Carolina Panthers,"NFL team represented the NFC at Super Bowl 50? [SEP] ing each Super Bowl game with Roman numerals ( under which the game would have been known as "" Super Bowl L "" ), so that the logo could prominently feature the Arabic numerals 50"
Where did Super Bowl 50 take place?,"Santa Clara, California","Levi ' s Stadium in the San Francisco Bay Area at Santa Clara, California",Arabic numerals 50
Which NFL team won Super Bowl 50?,Denver Broncos,Carolina Panthers,"[CLS] Which NFL team won Super Bowl 50? [SEP] ing each Super Bowl game with Roman numerals ( under which the game would have been known as "" Super Bowl L "" ), so that the logo could prominently feature the Arabic numerals 50"
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,gold,golden
What was the theme of Super Bowl 50?,"""golden anniversary""",golden anniversary,to determine the champion of the National Football League
What day was the game played on?,"February 7, 2016","February 7, 2016","February 7, 2016"
What is the AFC short for?,American Football Conference,Super Bowl 50 was an American football game to determine the champion of the National Football League ( NFL ) for the 2015 season. The American Football Conference,American Football Conference
What was the theme of Super Bowl 50?,"""golden anniversary""",golden anniversary,to determine the champion of the National Football League
What does AFC stand for?,American Football Conference,American Football Conference,American Football Conference
What day was the Super Bowl played on?,"February 7, 2016","February 7, 2016","February 7, 2016"
Who won Super Bowl 50?,Denver Broncos,Denver Broncos,"[CLS] Who won Super Bowl 50? [SEP] ing each Super Bowl game with Roman numerals ( under which the game would have been known as "" Super Bowl L "" ), so that the logo could prominently feature the Arabic numerals 50"
What venue did Super Bowl 50 take place in?,Levi's Stadium,Levi ' s Stadium,"[CLS] What venue did Super Bowl 50 take place in? [SEP] ing each Super Bowl game with Roman numerals ( under which the game would have been known as "" Super Bowl L "" ), so that the logo could prominently feature the Arabic numerals 50"
What city did Super Bowl 50 take place in?,Santa Clara,"Santa Clara, California",Arabic numerals 50
"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L,Super Bowl L,Super Bowl L
Super Bowl 50 decided the NFL champion for what season?,2015,2015,2015
What year did the Denver Broncos secure a Super Bowl title for the third time?,2015,2016,2015
What city did Super Bowl 50 take place in?,Santa Clara,"Santa Clara, California",Arabic numerals 50
What stadium did Super Bowl 50 take place in?,Levi's Stadium,Levi ' s Stadium,Levi ' s Stadium
What was the final score of Super Bowl 50? ,24–10,24 – 10,
"What month, day and year did Super Bowl 50 take place? ","February 7, 2016","February 7, 2016",month
What year was Super Bowl 50?,2015,2015,"What year was Super Bowl 50? [SEP] ing each Super Bowl game with Roman numerals ( under which the game would have been known as "" Super Bowl L "" ), so that the logo could prominently feature the Arabic numerals 50"
What team was the AFC champion?,Denver Broncos,Denver Broncos,Denver Broncos
What team was the NFC champion?,Carolina Panthers,Carolina Panthers,Carolina Panthers
Who won Super Bowl 50?,Denver Broncos,Denver Broncos,"[CLS] Who won Super Bowl 50? [SEP] ing each Super Bowl game with Roman numerals ( under which the game would have been known as "" Super Bowl L "" ), so that the logo could prominently feature the Arabic numerals 50"
Super Bowl 50 determined the NFL champion for what season?,2015,2015,2015
Which team won Super Bowl 50.,Denver Broncos,Carolina Panthers,Which team won Super Bowl 50
Where was Super Bowl 50 held?,"Santa Clara, California.",Levi ' s Stadium,Arabic numerals 50
The name of the NFL championship game is?,Super Bowl,Super Bowl 50,Super Bowl 50
What 2015 NFL team one the AFC playoff?,Denver Broncos,Denver Broncos,Denver Broncos
Which Carolina Panthers player was named Most Valuable Player?,Cam Newton,Cam Newton,Cam Newton
How many appearances have the Denver Broncos made in the Super Bowl?,8,eight,eight
What year was the Carolina Panthers franchise founded?,1995,1995,1995
What team did the Panthers defeat?,Arizona Cardinals,Arizona Cardinals,Arizona Cardinals
Who did the Broncos prevent from going to the Super Bowl?,New England Patriots,New England Patriots,New England Patriots
Who did the Panthers beat in the NFC Championship Game?,Arizona Cardinals,Arizona Cardinals,Arizona Cardinals
Who lost to the Broncos in the AFC Championship?,New England Patriots,Arizona Cardinals,New England Patriots
Who were the defending Super Bowl champions?,New England Patriots,New England Patriots,eight appearances in the Super Bowl
How many teams have been in the Super Bowl eight times?,four,four,eight
Who was this season's NFL MVP?,Cam Newton,Cam Newton,Cam Newton
What was the win/loss ratio in 2015 for the Carolina Panthers during their regular season?,15–1,15 – 1,15 – 1
Which Carolina Panthers team member was picked as the team's MVP in 2015? ,Cam Newton,Cam Newton,Cam Newton
What were the win/loss game stats for the Denver Bronco's regular season in 2015?,12–4,15 – 1 record,12 – 4
How many teams have played in the Super Bowl eight times?,4,four,eight
Which team did not get a chance to defend their Super Bowl XLIX win in Super Bowl 50?,New England Patriots,New England Patriots,eight appearances in the Super Bowl
Who is the quarterback for the Panthers?,Cam Newton,Cam Newton,Cam Newton
Who did Carolina beat in the NFC championship game?,Arizona Cardinals,Arizona Cardinals,Arizona Cardinals
How many times have the Panthers been in the Super Bowl?,2,eight,eight
Who did Denver beat in the AFC championship?,New England Patriots,Arizona Cardinals,20 – 18
Who was the Most Valuable Player for the 2015 NFL season?,Cam Newton,Cam Newton,Cam Newton
Who did Denver beat in the 2015 AFC Championship game?,New England Patriots,Arizona Cardinals,20 – 18
Who did the Carolina Panthers beat in the 2015 NFC Championship game?,Arizona Cardinals,Arizona Cardinals,Arizona Cardinals
Who was the 2015 NFL MVP?,Cam Newton,Cam Newton,Cam Newton
Who did the Panthers beat to become the NFC champs?,Arizona Cardinals,Arizona Cardinals,Arizona Cardinals
What year did the Carolina Panthers form?,1995.,1995,The Panthers finished the regular season
Who was the Super Bowl 50 MVP?,Von Miller,Von Miller,Broncos
How many fumbles did Von Miller force in Super Bowl 50?,2,two,two
Which team held the scoring lead throughout the entire game?,Broncos,Broncos,Broncos
Which Denver linebacker was named Super Bowl MVP?,linebacker Von Miller,Von Miller,Von Miller
How many solo tackles did Von Miller make at Super Bowl 50?,five solo tackles,five,five
Who was limited by Denver's defense?,Newton was limited by Denver's defense,Newton,Newton
How many times was Cam Newton sacked?,seven,seven,seven
Who won the Super Bowl MVP?,Von Miller,Von Miller,Von Miller
How many turnovers did Cam Newton have?,three,three,three
How many fumbles did Von Miller force?,two,two,two
Who was given the esteemed status of MVP for Super Bowl 50?,Von Miller,Von Miller,Von Miller
What position does Von Miller play for the Denver Broncos?,linebacker,linebacker,linebacker
What was the number of solo tackles that Von Miller had in Super Bowl 50?,5,five,five
How many forced fumbles did Von Miller have during the Super Bowl 50 game?,2,two,two
Who won the MVP for the Super Bowl?,Von Miller,Von Miller,Von Miller
How many tackles did Von Miller get during the game?,5,five,five
How many times was Cam Newton sacked in Super Bowl 50?,seven,seven,seven
How many times did the Denver defense force Newton into turnovers?,three,three,three
Which Newton turnover resulted in seven points for Denver?,a fumble,a fumble,a fumble
