question,true,basic,multistep
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos,Denver Broncos,Denver Broncos
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,Carolina Panthers,Carolina Panthers
Where did Super Bowl 50 take place?,"Santa Clara, California","Levi ' s Stadium in the San Francisco Bay Area at Santa Clara, California","Santa Clara, California"
Which NFL team won Super Bowl 50?,Denver Broncos,Carolina Panthers,Carolina Panthers
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,gold,golden
What was the theme of Super Bowl 50?,"""golden anniversary""",golden anniversary,to determine the champion of the National Football League
What day was the game played on?,"February 7, 2016","February 7, 2016","February 7, 2016"
What is the AFC short for?,American Football Conference,Super Bowl 50 was an American football game to determine the champion of the National Football League ( NFL ) for the 2015 season. The American Football Conference,American Football Conference
What was the theme of Super Bowl 50?,"""golden anniversary""",golden anniversary,to determine the champion of the National Football League
What does AFC stand for?,American Football Conference,American Football Conference,American Football Conference
What day was the Super Bowl played on?,"February 7, 2016","February 7, 2016","February 7, 2016"
Who won Super Bowl 50?,Denver Broncos,Denver Broncos,Carolina Panthers
What venue did Super Bowl 50 take place in?,Levi's Stadium,Levi ' s Stadium,Levi ' s Stadium
What city did Super Bowl 50 take place in?,Santa Clara,"Santa Clara, California",Santa Clara
"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L,Super Bowl L,Super Bowl L
Super Bowl 50 decided the NFL champion for what season?,2015,2015,2015
What year did the Denver Broncos secure a Super Bowl title for the third time?,2015,2016,2016
What city did Super Bowl 50 take place in?,Santa Clara,"Santa Clara, California",Santa Clara
What stadium did Super Bowl 50 take place in?,Levi's Stadium,Levi ' s Stadium,Levi ' s Stadium
What was the final score of Super Bowl 50? ,24–10,24 – 10,24 – 10
"What month, day and year did Super Bowl 50 take place? ","February 7, 2016","February 7, 2016","February 7, 2016"
What year was Super Bowl 50?,2015,2015,2015
What team was the AFC champion?,Denver Broncos,Denver Broncos,Carolina Panthers
What team was the NFC champion?,Carolina Panthers,Carolina Panthers,Carolina Panthers
Who won Super Bowl 50?,Denver Broncos,Denver Broncos,Carolina Panthers
Super Bowl 50 determined the NFL champion for what season?,2015,2015,2015
Which team won Super Bowl 50.,Denver Broncos,Carolina Panthers,Carolina Panthers
Where was Super Bowl 50 held?,"Santa Clara, California.",Levi ' s Stadium,"Santa Clara, California"
The name of the NFL championship game is?,Super Bowl,Super Bowl 50,Super Bowl 50
What 2015 NFL team one the AFC playoff?,Denver Broncos,Denver Broncos,Denver Broncos
Which Carolina Panthers player was named Most Valuable Player?,Cam Newton,Cam Newton,Cam Newton
How many appearances have the Denver Broncos made in the Super Bowl?,8,eight,eight
What year was the Carolina Panthers franchise founded?,1995,1995,1995
What team did the Panthers defeat?,Arizona Cardinals,Arizona Cardinals,Arizona Cardinals
Who did the Broncos prevent from going to the Super Bowl?,New England Patriots,New England Patriots,New England Patriots
Who did the Panthers beat in the NFC Championship Game?,Arizona Cardinals,Arizona Cardinals,Arizona Cardinals
Who lost to the Broncos in the AFC Championship?,New England Patriots,Arizona Cardinals,Arizona Cardinals
Who were the defending Super Bowl champions?,New England Patriots,New England Patriots,Arizona Cardinals
How many teams have been in the Super Bowl eight times?,four,four,eight
Who was this season's NFL MVP?,Cam Newton,Cam Newton,Cam Newton
What was the win/loss ratio in 2015 for the Carolina Panthers during their regular season?,15–1,15 – 1,15 – 1
Which Carolina Panthers team member was picked as the team's MVP in 2015? ,Cam Newton,Cam Newton,Cam Newton
What were the win/loss game stats for the Denver Bronco's regular season in 2015?,12–4,15 – 1 record,15 – 1
How many teams have played in the Super Bowl eight times?,4,four,eight
Which team did not get a chance to defend their Super Bowl XLIX win in Super Bowl 50?,New England Patriots,New England Patriots,New England Patriots
Who is the quarterback for the Panthers?,Cam Newton,Cam Newton,Cam Newton
Who did Carolina beat in the NFC championship game?,Arizona Cardinals,Arizona Cardinals,Arizona Cardinals
How many times have the Panthers been in the Super Bowl?,2,eight,four
Who did Denver beat in the AFC championship?,New England Patriots,Arizona Cardinals,Arizona Cardinals
Who was the Most Valuable Player for the 2015 NFL season?,Cam Newton,Cam Newton,Cam Newton
Who did Denver beat in the 2015 AFC Championship game?,New England Patriots,Arizona Cardinals,Arizona Cardinals
Who did the Carolina Panthers beat in the 2015 NFC Championship game?,Arizona Cardinals,Arizona Cardinals,Arizona Cardinals
Who was the 2015 NFL MVP?,Cam Newton,Cam Newton,Cam Newton
Who did the Panthers beat to become the NFC champs?,Arizona Cardinals,Arizona Cardinals,Arizona Cardinals
What year did the Carolina Panthers form?,1995.,1995,1995
Who was the Super Bowl 50 MVP?,Von Miller,Von Miller,Von Miller
How many fumbles did Von Miller force in Super Bowl 50?,2,two,two
Which team held the scoring lead throughout the entire game?,Broncos,Broncos,Broncos
Which Denver linebacker was named Super Bowl MVP?,linebacker Von Miller,Von Miller,Von Miller
How many solo tackles did Von Miller make at Super Bowl 50?,five solo tackles,five,five
Who was limited by Denver's defense?,Newton was limited by Denver's defense,Newton,Newton
How many times was Cam Newton sacked?,seven,seven,seven
Who won the Super Bowl MVP?,Von Miller,Von Miller,Von Miller
How many turnovers did Cam Newton have?,three,three,three
How many fumbles did Von Miller force?,two,two,two
Who was given the esteemed status of MVP for Super Bowl 50?,Von Miller,Von Miller,Von Miller
What position does Von Miller play for the Denver Broncos?,linebacker,linebacker,linebacker
What was the number of solo tackles that Von Miller had in Super Bowl 50?,5,five,five
How many forced fumbles did Von Miller have during the Super Bowl 50 game?,2,two,two
Who won the MVP for the Super Bowl?,Von Miller,Von Miller,Von Miller
How many tackles did Von Miller get during the game?,5,five,five
How many times was Cam Newton sacked in Super Bowl 50?,seven,seven,seven
How many times did the Denver defense force Newton into turnovers?,three,three,three
Which Newton turnover resulted in seven points for Denver?,a fumble,a fumble,a fumble
Who was the Most Valuable Player of Super Bowl 50?,Von Miller,Von Miller,Von Miller
What position does Von Miller play?,linebacker,linebacker,linebacker
How many times was the Panthers' quarterback sacked?,seven,seven,seven
How many times did the Broncos cause turnovers in the game?,three,three,three
What Denver player caused two fumbles for the Panthers?,Von Miller,Von Miller,Von Miller
How many tackles did Von Miller accomlish by himself in the game?,five,five,five
Which network broadcasted Super Bowl 50 in the U.S.?,CBS,CBS,CBS
What was the average cost for a 30 second commercial during Super Bowl 50?,$5 million,$ 5 million,$ 5 million
Which group headlined the Super Bowl 50 halftime show?,Coldplay,Coldplay,Coldpl
Which performers joined the headliner during the Super Bowl 50 halftime show?,Beyoncé and Bruno Mars,Beyoncé and Bruno Mars,Beyoncé and Bruno Mars
At which Super Bowl did Beyonce headline the halftime show?,Super Bowl XLVII,Super Bowl 50,Super Bowl XLVIII
Who was the broadcaster for Super Bowl 50 in the United States?,CBS,CBS,CBS
What was the average cost of a 30-second commercial?,$5 million,$ 5 million,$ 5 million
What halftime performer previously headlined Super Bowl XLVII?,Beyoncé,Beyoncé and Bruno Mars,Beyoncé and Bruno Mars
What halftime performer previously headlined Super Bowl XLVIII?,Bruno Mars,Beyoncé and Bruno Mars,Bruno Mars
Who was the main performer at this year's halftime show?,Coldplay,Beyoncé and Bruno Mars,Beyoncé and Bruno Mars
Which network broadcasted the 50th Super Bowl game? ,CBS,CBS,CBS
What was the average cost for a TV ad lasting 30 seconds during Super Bowl 50?,$5 million,$ 5 million,$ 5 million
Who was the male singer who performed as a special guest during Super Bowl 50?,Bruno Mars,Beyoncé and Bruno Mars,Beyoncé and Bruno Mars
What ranking does the Super Bowl 50 halftime show have on the list of most watched TV broadcasts?,third,third,third
What station aired the Super Bowl?,CBS,CBS,CBS
How much money did a 1/2 minute commercial cost?,$5 million,$ 5 million,$ 5 million
What band headlined half-time during Super Bowl 50?,Coldplay,Coldplay,Coldpl
What two artists came out with Coldplay during the half-time show?,Beyoncé and Bruno Mars,Beyoncé and Bruno Mars,Beyoncé and Bruno Mars
Who broadcast the Super Bowl on TV?,CBS,CBS,CBS
Who headlined the halftime show for Super Bowl 50?,Coldplay,Coldplay with special guest performers Beyoncé and Bruno Mars,Coldpl
Who were special guests for the Super Bowl halftime show?,Beyoncé and Bruno Mars,Beyoncé and Bruno Mars,Beyoncé and Bruno Mars
Which Super Bowl halftime show did Beyoncé headline?,Super Bowl XLVII,"Coldplay with special guest performers Beyoncé and Bruno Mars, who headlined the Super Bowl XLVII",Super Bowl XLVIII
What was the cost for a half minute ad?,$5 million,$ 5 million,$ 5 million
Who lead the Super Bowl 50 halftime performance?,Coldplay,Beyoncé and Bruno Mars,Beyoncé and Bruno Mars
What other two famous performers were part of the Super Bowl 50 halftime?,Beyoncé and Bruno Mars,Beyoncé and Bruno Mars,Beyoncé and Bruno Mars
What performer lead the Super Bowl XLVIII halftime show?,Bruno Mars,Beyoncé and Bruno Mars,Beyoncé and Bruno Mars
Who was the NFL Commissioner in early 2012?,Roger Goodell,Roger Goodell,Roger Goodell
Which Super Bowl did Roger Goodell speak about?,the 50th Super Bowl,50th,50th
In what year did Roger Goodell call Super Bowl 50 'an important game for us as a league'?,2012,2012,2012
Who is the Commissioner of the National Football League?,Roger Goodell,Roger Goodell,Roger Goodell
When did he make the quoted remarks about Super Bowl 50?,early 2012,early 2012,early 2012
Who was the commissioner of the NFL in 2012? ,Roger Goodell,Roger Goodell,Roger Goodell
Who if the commissioner of the NFL?,Roger Goodell,Roger Goodell,Roger Goodell
Who is the commissioner of the NFL?,Roger Goodell,Roger Goodell,Roger Goodell
"In early 2012, Goodell said that Super Bowl 50 would be what?",spectacular,an important game for us as a league,an important game for us as a league
What one word did the NFL commissioner use to describe what Super Bowl 50 was intended to be?,spectacular,spectacular,spectacular
"What year did Roger Goodell announce that Super Bowl 50 would be ""important""?",2012,2012,2012
Which Louisiana venue was one of three considered for Super Bowl 50?,New Orleans' Mercedes-Benz Superdome,Mercedes - Benz Superdome,Mercedes - Benz Superdome
Which Florida venue was one of three considered for Super Bowl 50?,Miami's Sun Life Stadium,Sun Life Stadium,Sun Life Stadium
Which California venue was one of three considered for Super Bowl 50?,San Francisco Bay Area's Levi's Stadium,"New Orleans ' Mercedes - Benz Superdome, Miami ' s Sun Life Stadium, and the San Francisco Bay Area ' s Levi ' s Stadium","New Orleans ' Mercedes - Benz Superdome, Miami ' s Sun Life Stadium, and the San Francisco Bay Area ' s Levi ' s Stadium"
What venue in Miami was a candidate for the site of Super Bowl 50?,Sun Life Stadium,Sun Life Stadium,Sun Life Stadium
What site is located in the San Francisco Bay Area?,Levi's Stadium,Levi ' s Stadium,Levi ' s Stadium
What is the name of San Francisco's stadium when looked at as a possibility for Super Bowl 50?,Levi's Stadium,Levi ' s Stadium,Levi ' s Stadium
What was the name of New Orleans' superdome at the time that Super Bowl 50 took place?,Mercedes-Benz Superdome,Mercedes - Benz,Mercedes - Benz
What was the given name of Miami's stadium at the time of Super Bowl 50?,Sun Life Stadium,Sun Life Stadium,Sun Life Stadium
What three stadiums did the NFL decide between for the game?,"New Orleans' Mercedes-Benz Superdome, Miami's Sun Life Stadium, and the San Francisco Bay Area's Levi's Stadium","New Orleans ' Mercedes - Benz Superdome, Miami ' s Sun Life Stadium, and the San Francisco Bay Area ' s Levi ' s Stadium","New Orleans ' Mercedes - Benz Superdome, Miami ' s Sun Life Stadium, and the San Francisco Bay Area ' s Levi ' s Stadium"
How many sites did the NFL narrow down Super Bowl 50's location to?,three,three,three
"One of the sites, Merceds-Benz Superdome, is located where?",New Orleans,New Orleans,New Orleans
What is the name of the stadium in Miami that was considered?,Sun Life Stadium,Sun Life Stadium,Sun Life Stadium
What was the third city that was considered?,San Francisco,New Orleans,New Orleans
What is the name of the stadium in San Francisco Bay Area?,Levi's Stadium.,Levi ' s Stadium,Levi ' s Stadium
What Florida stadium was considered for Super Bowl 50?,Sun Life Stadium,Sun Life Stadium,Sun Life Stadium
What New Orleans stadium was considered for Super Bowl 50?,Mercedes-Benz Superdome,Mercedes - Benz Superdome,Mercedes - Benz Superdome
What is the name of the stadium where Super Bowl 50 was played?,Levi's Stadium.,Levi ' s Stadium,Levi ' s Stadium
When were the two finalists for hosting Super Bowl 50 announced?,"October 16, 2012","October 16, 2012","October 16, 2012"
How many times has the South Florida/Miami area hosted the Super Bowl?,10,10,10
What was the most recent Super Bowl hosted in the South Florida/Miami area?,Super Bowl XLIV,Super Bowl XLIV,Super Bowl XLIV
When was the most recent Super Bowl hosted in the South Florida/Miami area?,2010,2010,2010
When did the San Francisco Bay area last host the Super Bowl?,1985,1985,1985
What was the other finalist besides Levi's Stadium?,Sun Life Stadium,Sun Life Stadium,Sun Life Stadium
When were the finalists announced?,"October 16, 2012","October 16, 2012","October 16, 2012"
In what venue did Super Bowl XIX take place?,Stanford Stadium,Stanford Stadium,Stanford Stadium
On what date did the Florida legislature decide against the plan to renovate the Miami stadium?,"May 3, 2013","May 3, 2013","May 3, 2013"
In what year was the Super Bowl last held in the Miami/South Florida area?,2010,1985,1985
How many times has a Super Bowl taken place at Miami's Sun Life Stadium?,two,10,10
What was the last Super Bowl that took place at Sun Life Stadium in Miami? ,Super Bowl XLIV,Super Bowl XIX,Super Bowl XIX
"In 2012, how many stadiums were named as finalists for hosting Super Bowl 50 before the final stadium was chosen?",two,two,two
What was the entity that stepped in and caused Miami's Sun Life Stadium to no longer be in the running to host Super Bowl 50?,Florida legislature,49ers,
"Prior to this consideration, when did San Francisco last host a Super Bowl?",1985,1985,1985
What other city has hosted the Super Bowl ten times?,New Orleans,South Florida / Miami,South Florida / Miami
What date were the top two stadium choices for Super Bowl 50 announced?,"October 16, 2012","October 16, 2012","October 16, 2012"
How many times prios has the Sun Life Stadium had Super Bowls?,10.,10,10
What city is tied with Miami for hosting the Super Bowl?,New Orleans,New Orleans,South Florida
When was the last time San Francisco hosted a Super Bowl?,1985,1985,1985
Who decided not to approve paying for renovations at Sun Life Stadium that the league wanted for them to do to host Super Bowl 50?,Florida legislature,Florida legislature,Florida legislature
When was Levi's Stadium awarded the right to host Super Bowl 50?,"May 21, 2013","May 21, 2013","May 21, 2013"
Who voted on the venue for Super Bowl 50?,NFL owners,NFL owners,NFL owners
When did Lev's Stadium open?,2014,2014,2014
How much did it cost to build Levi's Stadium?,$1.2 billion,$ 1. 2 billion,$ 1. 2 billion
What California city last hosted the Super Bowl?,San Diego,San Diego,San Diego
Where did the spring meetings of the NFL owners take place?,Boston,Boston,Boston
On what date was Super Bowl 50 given to Levi's Stadium?,"May 21, 2013","May 21, 2013","May 21, 2013"
How much did it cost to build Levi's Stadium?,$1.2 billion,$ 1. 2 billion,$ 1. 2 billion
"Prior to Super Bowl 50, what was the last Super Bowl in California?",Super Bowl XXXVII,Super Bowl XIX,Super Bowl XXXVII
In what city did the last Super Bowl in California occur?,San Diego,San Diego,San Diego
What year did Levi's Stadium become fully approved to host Super Bowl 50?,2013,2013,2013
When did Levi's stadium open to the public? ,2014,2014,2014
How much did it cost to build the stadium where Super Bowl 50 was played?,$1.2 billion,$ 1. 2 billion,$ 1. 2 billion
"What year did a Super Bowl play in the bay area around San Francisco, prior to Super Bowl 50?",1985,1985,1985
Which Super Bowl was hosted in San Diego in 2003? ,Super Bowl XXXVII,Super Bowl XXXVII,Super Bowl XXXVII
When was San Francisco voted to be the location for Super Bowl 50?,"May 21, 2013","May 21, 2013","May 21, 2013"
When did Levi's Stadium open?,2014,2014,2014
When was the last Super Bowl in California?,2003,2003,2003
Where was the meeting held when the NFL owners voted on the location for Super Bowl 50?,Boston,Boston,Boston
When was Levi's Stadium picked for Super bowl 50?,"May 21, 2013","May 21, 2013","May 21, 2013"
When did Levi's Stadium open?,2014.,2014,2014
How much did Levi's Stadium cost?,$1.2 billion,$ 1. 2 billion,$ 1. 2 billion
When was the last time California hosted a Super Bowl?,2003.,2003,2003
Who coached each Super Bowl 50 participant in their most recent Super Bowl appearance prior to Super Bowl 50?,John Fox,John Fox,John Fox
How many NFL teams have finished the regular season with one loss?,ten,ten,ten
How many NFL teams have gone 15-1 in one season?,six,six,six
Which team in Super Bowl 50 had a 15-1 record?,Carolina Panthers,Carolina Panthers,Panthers
What was the last Super Bowl the Broncos participated in?,Super Bowl XLVIII,50,50
Who was the head coach of the Broncos in Super Bowl XLVIII?,John Fox,John Fox,John Fox
What was the number of times the Denver Broncos played in a Super Bowl by the time they reached Super Bowl 50?,eight,eight,eight
How many NFL teams have had only one loss by the end of a regular season?,ten,ten,six
What was the first Super Bowl that the Carolina Panthers played in? ,Super Bowl XXXVIII,Super Bowl XXXVIII,50
How many teams can boast a 15–1 regular season record?,six,six,six
What seed was the Carolina Panthers?,number one,number one,Denver Broncos
What seed was the Denver Broncos?,number one,four,four
"Prior to Super Bowl 50, when were the Broncos last there?",Super Bowl XLVIII,John Fox in their last Super Bowl appearance,third straight season
"Prior to Super Bowl 50, when were the Carolina Panthers last there?",Super Bowl XXXVIII.,John Fox in their last Super Bowl appearance,third straight season
How many teams have had a 15-1 record for the regular season?,six,six,six
How many games did the Panthers lose in the regular season before Super Bowl 50?,one,one,one
How many teams up to Super Bowl 50 have been to the championship game eight times?,four,four,one
"Before Super Bowl 50, what was the coach's name that coached both teams for their last Super Bowl appearances?",John Fox,John Fox,John Fox
Whic Carolina Panthers running back was waived?,DeAngelo Williams,DeAngelo Williams,DeAngelo Williams
Which Carolina Panthers wide receiver suffered a torn ACL before the season began?,Kelvin Benjamin,Kelvin Benjamin,Kelvin Benjamin
How many teams have won 15 regular season games since the 16-game schedule was adopted?,7,seventh,seventh
In what year did the NFL switch to a 16-game regular season?,1978,1978,1978
Who had the best record in the NFC?,Carolina Panthers,Panthers,Carolina Panthers
How many Panthers went to the Pro Bowl?,Ten,Ten,Ten
How many Panthers were designated All-Pro?,eight,eight,eight
What Panther tore his ACL in the preseason?,Kelvin Benjamin,Kelvin Benjamin,
What year did the league begin having schedules with 16 games in them?,1978,1978,1978
What year did the the Saints hit a 13-0 record?,2009,2009,2009
When did the Packers arrive at a record of 13-0?,2011,2011,2009
What injury did the Carolina Panthers lose Kelvin Benjamin to during their preseason?,torn ACL,a torn ACL,a torn ACL
Which player did the Panthers lose to an ACL injury in a preseason game?,Kelvin Benjamin,Kelvin Benjamin,Kelvin Benjamin
Which running back did the Panthers waive?,DeAngelo Williams,DeAngelo Williams,DeAngelo Williams
When did the NFL start their 16 game seasons?,1978,1978,1978
How many Panthers players were selected to the Pro Bowl?,Ten,Ten,Ten
Which team had the best regular season in their history?,Carolina Panthers,Carolina Panthers,Carolina Panthers
When did the league go from 15 to 16 games in the regular season?,1978.,1978,1978
What team had the best start ever in the NFL?,Carolina Panthers,Carolina Panthers,Carolina Panthers
How many Panthers players were chosen for the 2015 season's Pro Bowl?,Ten,Ten,Ten
How many Pro Bowlers were on the Panthers offense?,six,six,six
